ConcernAspect,Category,Percentage
ClimateChangeConcern_r1,Agree,25.31446540880503
ClimateChangeConcern_r1,Disagree,8.018867924528301
ClimateChangeConcern_r1,Neither Agree nor Disagree,14.779874213836479
ClimateChangeConcern_r1,Strongly Agree,44.0251572327044
ClimateChangeConcern_r1,Strongly Disagree,7.861635220125786
ClimateChangeConcern_r2,Agree,18.553459119496857
ClimateChangeConcern_r2,Disagree,16.9811320754717
ClimateChangeConcern_r2,Neither Agree nor Disagree,25.471698113207548
ClimateChangeConcern_r2,Strongly Agree,10.220125786163521
ClimateChangeConcern_r2,Strongly Disagree,28.77358490566038
ClimateChangeConcern_r3,Agree,24.056603773584907
ClimateChangeConcern_r3,Disagree,12.578616352201259
ClimateChangeConcern_r3,Neither Agree nor Disagree,18.553459119496857
ClimateChangeConcern_r3,Strongly Agree,24.68553459119497
ClimateChangeConcern_r3,Strongly Disagree,20.12578616352201
ClimateChangeConcern_r4,Agree,10.534591194968554
ClimateChangeConcern_r4,Disagree,12.421383647798741
ClimateChangeConcern_r4,Neither Agree nor Disagree,15.40880503144654
ClimateChangeConcern_r4,Strongly Agree,11.320754716981131
ClimateChangeConcern_r4,Strongly Disagree,50.314465408805034
ClimateChangeConcern_r5,Agree,17.767295597484278
ClimateChangeConcern_r5,Disagree,11.949685534591195
ClimateChangeConcern_r5,Neither Agree nor Disagree,14.937106918238994
ClimateChangeConcern_r5,Strongly Agree,25.31446540880503
ClimateChangeConcern_r5,Strongly Disagree,30.031446540880502
ClimateChangeConcern_r6,Agree,25.471698113207548
ClimateChangeConcern_r6,Disagree,8.018867924528301
ClimateChangeConcern_r6,Neither Agree nor Disagree,20.91194968553459
ClimateChangeConcern_r6,Strongly Agree,35.062893081761004
ClimateChangeConcern_r6,Strongly Disagree,10.534591194968554
ClimateChangeConcern_r7,Agree,28.144654088050313
ClimateChangeConcern_r7,Disagree,6.446540880503145
ClimateChangeConcern_r7,Neither Agree nor Disagree,17.138364779874212
ClimateChangeConcern_r7,Strongly Agree,42.61006289308176
ClimateChangeConcern_r7,Strongly Disagree,5.660377358490566
ClimateChangeConcern_r8,Agree,27.358490566037737
ClimateChangeConcern_r8,Disagree,8.49056603773585
ClimateChangeConcern_r8,Neither Agree nor Disagree,21.22641509433962
ClimateChangeConcern_r8,Strongly Agree,32.861635220125784
ClimateChangeConcern_r8,Strongly Disagree,10.062893081761006
