,ConcernAspect,Score,Category
0,Concern about climate change,3.0,Somewhat
1,Concern about climate change,6.0,Very much
2,Concern about climate change,5.0,Quite a bit
3,Concern about climate change,7.0,Extremely
4,Concern about climate change,5.0,Quite a bit
5,Concern about climate change,6.0,Very much
6,Concern about climate change,6.0,Very much
7,Concern about climate change,5.0,Quite a bit
8,Concern about climate change,7.0,Extremely
9,Concern about climate change,5.0,Quite a bit
10,Concern about climate change,7.0,Extremely
11,Concern about climate change,5.0,Quite a bit
12,Concern about climate change,4.0,Moderately
13,Concern about climate change,5.0,Quite a bit
14,Concern about climate change,4.0,Moderately
15,Concern about climate change,2.0,Slightly
16,Concern about climate change,5.0,Quite a bit
17,Concern about climate change,6.0,Very much
18,Concern about climate change,5.0,Quite a bit
19,Concern about climate change,5.0,Quite a bit
20,Concern about climate change,6.0,Very much
21,Concern about climate change,4.0,Moderately
22,Concern about climate change,1.0,Not at all
23,Concern about climate change,2.0,Slightly
24,Concern about climate change,6.0,Very much
25,Concern about climate change,4.0,Moderately
26,Concern about climate change,3.0,Somewhat
27,Concern about climate change,7.0,Extremely
28,Concern about climate change,5.0,Quite a bit
29,Concern about climate change,5.0,Quite a bit
30,Concern about climate change,2.0,Slightly
31,Concern about climate change,4.0,Moderately
32,Concern about climate change,7.0,Extremely
33,Concern about climate change,3.0,Somewhat
34,Concern about climate change,7.0,Extremely
35,Concern about climate change,5.0,Quite a bit
36,Concern about climate change,6.0,Very much
37,Concern about climate change,4.0,Moderately
38,Concern about climate change,6.0,Very much
39,Concern about climate change,5.0,Quite a bit
40,Concern about climate change,3.0,Somewhat
41,Concern about climate change,4.0,Moderately
42,Concern about climate change,6.0,Very much
43,Concern about climate change,4.0,Moderately
44,Concern about climate change,7.0,Extremely
45,Concern about climate change,6.0,Very much
46,Concern about climate change,7.0,Extremely
47,Concern about climate change,5.0,Quite a bit
48,Concern about climate change,3.0,Somewhat
49,Concern about climate change,5.0,Quite a bit
50,Concern about climate change,4.0,Moderately
51,Concern about climate change,3.0,Somewhat
52,Concern about climate change,4.0,Moderately
53,Concern about climate change,2.0,Slightly
54,Concern about climate change,4.0,Moderately
55,Concern about climate change,6.0,Very much
56,Concern about climate change,7.0,Extremely
57,Concern about climate change,4.0,Moderately
58,Concern about climate change,5.0,Quite a bit
59,Concern about climate change,5.0,Quite a bit
60,Concern about climate change,5.0,Quite a bit
61,Concern about climate change,7.0,Extremely
62,Concern about climate change,7.0,Extremely
63,Concern about climate change,7.0,Extremely
64,Concern about climate change,5.0,Quite a bit
65,Concern about climate change,6.0,Very much
66,Concern about climate change,1.0,Not at all
67,Concern about climate change,7.0,Extremely
68,Concern about climate change,7.0,Extremely
69,Concern about climate change,4.0,Moderately
70,Concern about climate change,6.0,Very much
71,Concern about climate change,7.0,Extremely
72,Concern about climate change,7.0,Extremely
73,Concern about climate change,7.0,Extremely
74,Concern about climate change,6.0,Very much
75,Concern about climate change,5.0,Quite a bit
76,Concern about climate change,5.0,Quite a bit
77,Concern about climate change,5.0,Quite a bit
78,Concern about climate change,1.0,Not at all
79,Concern about climate change,2.0,Slightly
80,Concern about climate change,1.0,Not at all
81,Concern about climate change,3.0,Somewhat
82,Concern about climate change,5.0,Quite a bit
83,Concern about climate change,7.0,Extremely
84,Concern about climate change,6.0,Very much
85,Concern about climate change,1.0,Not at all
86,Concern about climate change,7.0,Extremely
87,Concern about climate change,6.0,Very much
88,Concern about climate change,5.0,Quite a bit
89,Concern about climate change,6.0,Very much
90,Concern about climate change,3.0,Somewhat
91,Concern about climate change,7.0,Extremely
92,Concern about climate change,4.0,Moderately
93,Concern about climate change,7.0,Extremely
94,Concern about climate change,7.0,Extremely
95,Concern about climate change,7.0,Extremely
96,Concern about climate change,7.0,Extremely
97,Concern about climate change,5.0,Quite a bit
98,Concern about climate change,5.0,Quite a bit
99,Concern about climate change,5.0,Quite a bit
100,Concern about climate change,6.0,Very much
101,Concern about climate change,7.0,Extremely
102,Concern about climate change,6.0,Very much
103,Concern about climate change,7.0,Extremely
104,Concern about climate change,2.0,Slightly
105,Concern about climate change,5.0,Quite a bit
106,Concern about climate change,7.0,Extremely
107,Concern about climate change,6.0,Very much
108,Concern about climate change,6.0,Very much
109,Concern about climate change,1.0,Not at all
110,Concern about climate change,6.0,Very much
111,Concern about climate change,7.0,Extremely
112,Concern about climate change,4.0,Moderately
113,Concern about climate change,7.0,Extremely
114,Concern about climate change,6.0,Very much
115,Concern about climate change,4.0,Moderately
116,Concern about climate change,5.0,Quite a bit
