,education,green_energy,green_energy_freq,cost,cost_freq,combination,combination_freq
0,Compulsory school,1,29,1,28,60% Green energy & 20% lower than current,0.047619047619047616
1,Compulsory school,1,29,1,28,60% Green energy & same as current,0.047619047619047616
2,Compulsory school,1,29,1,28,60% Green energy & 20% higher than current,0.030303030303030304
3,Compulsory school,1,29,1,28,80% Green energy & 20% lower than current,0.030303030303030304
4,Compulsory school,1,29,1,28,80% Green energy & same as current,0.03463203463203463
5,Compulsory school,1,29,1,28,80% Green energy & 20% higher than current,0.03896103896103896
6,Compulsory school,1,29,1,28,100% Green energy & 20% lower than current,0.04329004329004329
7,Compulsory school,1,29,1,28,100% Green energy & same as current,0.03463203463203463
8,Compulsory school,1,29,1,28,100% Green energy & 20% higher than current,0.025974025974025976
9,Compulsory school,1,29,2,27,60% Green energy & 20% lower than current,0.047619047619047616
10,Compulsory school,1,29,2,27,60% Green energy & same as current,0.047619047619047616
11,Compulsory school,1,29,2,27,60% Green energy & 20% higher than current,0.030303030303030304
12,Compulsory school,1,29,2,27,80% Green energy & 20% lower than current,0.030303030303030304
13,Compulsory school,1,29,2,27,80% Green energy & same as current,0.03463203463203463
14,Compulsory school,1,29,2,27,80% Green energy & 20% higher than current,0.03896103896103896
15,Compulsory school,1,29,2,27,100% Green energy & 20% lower than current,0.04329004329004329
16,Compulsory school,1,29,2,27,100% Green energy & same as current,0.03463203463203463
17,Compulsory school,1,29,2,27,100% Green energy & 20% higher than current,0.025974025974025976
18,Compulsory school,1,29,3,22,60% Green energy & 20% lower than current,0.047619047619047616
19,Compulsory school,1,29,3,22,60% Green energy & same as current,0.047619047619047616
20,Compulsory school,1,29,3,22,60% Green energy & 20% higher than current,0.030303030303030304
21,Compulsory school,1,29,3,22,80% Green energy & 20% lower than current,0.030303030303030304
22,Compulsory school,1,29,3,22,80% Green energy & same as current,0.03463203463203463
23,Compulsory school,1,29,3,22,80% Green energy & 20% higher than current,0.03896103896103896
24,Compulsory school,1,29,3,22,100% Green energy & 20% lower than current,0.04329004329004329
25,Compulsory school,1,29,3,22,100% Green energy & same as current,0.03463203463203463
26,Compulsory school,1,29,3,22,100% Green energy & 20% higher than current,0.025974025974025976
27,Compulsory school,2,24,1,28,60% Green energy & 20% lower than current,0.047619047619047616
