,ISO2,latitude,longitude,F2023,Technology
273,AF,33.93911,67.709953,276.661,Fossil fuels
275,AF,33.93911,67.709953,459.138,Hydropower (excl. Pumped Storage)
277,AF,33.93911,67.709953,33.243,Solar energy
279,AF,33.93911,67.709953,0.4,Wind energy
280,AL,41.153332,20.168331,1.425,Bioenergy
282,AL,41.153332,20.168331,97.0,Fossil fuels
284,AL,41.153332,20.168331,2493.0,Hydropower (excl. Pumped Storage)
286,AL,41.153332,20.168331,240.14,Solar energy
288,DZ,28.033886,1.659626,27219.5,Fossil fuels
290,DZ,28.033886,1.659626,128.9,Hydropower (excl. Pumped Storage)
292,DZ,28.033886,1.659626,450.8,Solar energy
294,DZ,28.033886,1.659626,10.0,Wind energy
296,AS,-14.270972,-170.132217,46.71,Fossil fuels
298,AS,-14.270972,-170.132217,4.81,Solar energy
300,AD,42.546245,1.601554,5.0,Bioenergy
302,AD,42.546245,1.601554,1.7,Fossil fuels
304,AD,42.546245,1.601554,46.0,Hydropower (excl. Pumped Storage)
306,AD,42.546245,1.601554,4.352,Solar energy
308,AO,-11.202692,17.873887,51.0,Bioenergy
310,AO,-11.202692,17.873887,2357.056,Fossil fuels
312,AO,-11.202692,17.873887,3729.279,Hydropower (excl. Pumped Storage)
314,AO,-11.202692,17.873887,310.46,Solar energy
316,AI,18.220554,-63.068615,23.8,Fossil fuels
318,AI,18.220554,-63.068615,1.542,Solar energy
320,AG,17.060816,-61.796428,103.35,Fossil fuels
322,AG,17.060816,-61.796428,15.584,Solar energy
324,AR,-38.416097,-63.616672,381.221,Bioenergy
326,AR,-38.416097,-63.616672,26444.228,Fossil fuels
328,AR,-38.416097,-63.616672,10390.488,Hydropower (excl. Pumped Storage)
330,AR,-38.416097,-63.616672,1408.431,Solar energy
332,AR,-38.416097,-63.616672,3706.32,Wind energy
335,AM,40.069099,45.038189,1785.6,Fossil fuels
337,AM,40.069099,45.038189,1357.8,Hydropower (excl. Pumped Storage)
339,AM,40.069099,45.038189,401.7,Solar energy
341,AM,40.069099,45.038189,2.9,Wind energy
345,AW,12.52111,-69.968338,216.0,Fossil fuels
347,AW,12.52111,-69.968338,14.804,Solar energy
349,AW,12.52111,-69.968338,30.0,Wind energy
351,AU,-25.274398,133.775136,871.36,Bioenergy
353,AU,-25.274398,133.775136,50820.0,Fossil fuels
355,AU,-25.274398,133.775136,8439.96,Hydropower (excl. Pumped Storage)
357,AU,-25.274398,133.775136,32612.0,Solar energy
359,AU,-25.274398,133.775136,12911.0,Wind energy
361,AT,47.516231,14.550072,1195.101,Bioenergy
363,AT,47.516231,14.550072,4092.153,Fossil fuels
365,AT,47.516231,14.550072,14708.126,Hydropower (excl. Pumped Storage)
367,AT,47.516231,14.550072,6831.704,Solar energy
369,AT,47.516231,14.550072,3977.236,Wind energy
371,AZ,40.143105,47.576927,37.7,Bioenergy
373,AZ,40.143105,47.576927,6633.0,Fossil fuels
375,AZ,40.143105,47.576927,1301.8,Hydropower (excl. Pumped Storage)
377,AZ,40.143105,47.576927,281.8,Solar energy
379,AZ,40.143105,47.576927,66.5,Wind energy
381,BS,25.03428,-77.39628,0.925,Bioenergy
383,BS,25.03428,-77.39628,916.0,Fossil fuels
385,BS,25.03428,-77.39628,14.373,Solar energy
387,BS,25.03428,-77.39628,0.3,Wind energy
389,BH,25.930414,50.637772,9885.0,Fossil fuels
391,BH,25.930414,50.637772,56.623,Solar energy
393,BH,25.930414,50.637772,2.675,Wind energy
395,BD,23.684994,90.356331,45.35,Bioenergy
397,BD,23.684994,90.356331,27455.0,Fossil fuels
399,BD,23.684994,90.356331,230.0,Hydropower (excl. Pumped Storage)
401,BD,23.684994,90.356331,748.145,Solar energy
403,BD,23.684994,90.356331,2.9,Wind energy
405,BB,13.193887,-59.543198,297.54,Fossil fuels
407,BB,13.193887,-59.543198,69.342,Solar energy
409,BB,13.193887,-59.543198,1.16,Wind energy
411,BY,53.709807,27.953389,140.7,Bioenergy
413,BY,53.709807,27.953389,9719.8,Fossil fuels
415,BY,53.709807,27.953389,96.5,Hydropower (excl. Pumped Storage)
417,BY,53.709807,27.953389,272.7,Solar energy
419,BY,53.709807,27.953389,122.0,Wind energy
421,BE,50.503887,4.469936,870.85,Bioenergy
423,BE,50.503887,4.469936,7083.7,Fossil fuels
425,BE,50.503887,4.469936,123.3,Hydropower (excl. Pumped Storage)
427,BE,50.503887,4.469936,8549.1,Solar energy
429,BE,50.503887,4.469936,5503.55,Wind energy
431,BZ,17.189877,-88.49765,35.5,Bioenergy
433,BZ,17.189877,-88.49765,97.17,Fossil fuels
435,BZ,17.189877,-88.49765,55.15,Hydropower (excl. Pumped Storage)
437,BZ,17.189877,-88.49765,6.52,Solar energy
439,BZ,17.189877,-88.49765,0.02,Wind energy
441,BJ,9.30769,2.315834,301.0,Fossil fuels
443,BJ,9.30769,2.315834,0.5,Hydropower (excl. Pumped Storage)
445,BJ,9.30769,2.315834,33.382,Solar energy
447,BT,27.514162,90.433601,8.32,Fossil fuels
449,BT,27.514162,90.433601,2334.335,Hydropower (excl. Pumped Storage)
451,BT,27.514162,90.433601,1.345,Solar energy
453,BT,27.514162,90.433601,0.6,Wind energy
455,BO,-16.290154,-63.588653,256.24,Bioenergy
457,BO,-16.290154,-63.588653,2679.2,Fossil fuels
