,income,education,green_energy,green_energy_freq,cost,cost_freq,combination,combination_freq
0,1.0,1.0,1,29,1,28,"(1, 1)",11
1,1.0,1.0,1,29,1,28,"(1, 2)",11
2,1.0,1.0,1,29,1,28,"(1, 3)",7
3,1.0,1.0,1,29,1,28,"(2, 1)",7
4,1.0,1.0,1,29,1,28,"(2, 2)",8
5,1.0,1.0,1,29,1,28,"(2, 3)",9
6,1.0,1.0,1,29,1,28,"(3, 1)",10
7,1.0,1.0,1,29,1,28,"(3, 2)",8
8,1.0,1.0,1,29,1,28,"(3, 3)",6
9,1.0,1.0,1,29,2,27,"(1, 1)",11
10,1.0,1.0,1,29,2,27,"(1, 2)",11
11,1.0,1.0,1,29,2,27,"(1, 3)",7
12,1.0,1.0,1,29,2,27,"(2, 1)",7
13,1.0,1.0,1,29,2,27,"(2, 2)",8
14,1.0,1.0,1,29,2,27,"(2, 3)",9
15,1.0,1.0,1,29,2,27,"(3, 1)",10
16,1.0,1.0,1,29,2,27,"(3, 2)",8
17,1.0,1.0,1,29,2,27,"(3, 3)",6
18,1.0,1.0,1,29,3,22,"(1, 1)",11
19,1.0,1.0,1,29,3,22,"(1, 2)",11
20,1.0,1.0,1,29,3,22,"(1, 3)",7
21,1.0,1.0,1,29,3,22,"(2, 1)",7
22,1.0,1.0,1,29,3,22,"(2, 2)",8
23,1.0,1.0,1,29,3,22,"(2, 3)",9
24,1.0,1.0,1,29,3,22,"(3, 1)",10
25,1.0,1.0,1,29,3,22,"(3, 2)",8
26,1.0,1.0,1,29,3,22,"(3, 3)",6
27,1.0,1.0,2,24,1,28,"(1, 1)",11
28,1.0,1.0,2,24,1,28,"(1, 2)",11
29,1.0,1.0,2,24,1,28,"(1, 3)",7
30,1.0,1.0,2,24,1,28,"(2, 1)",7
31,1.0,1.0,2,24,1,28,"(2, 2)",8
32,1.0,1.0,2,24,1,28,"(2, 3)",9
33,1.0,1.0,2,24,1,28,"(3, 1)",10
34,1.0,1.0,2,24,1,28,"(3, 2)",8
35,1.0,1.0,2,24,1,28,"(3, 3)",6
36,1.0,1.0,2,24,2,27,"(1, 1)",11
37,1.0,1.0,2,24,2,27,"(1, 2)",11
38,1.0,1.0,2,24,2,27,"(1, 3)",7
39,1.0,1.0,2,24,2,27,"(2, 1)",7
40,1.0,1.0,2,24,2,27,"(2, 2)",8
41,1.0,1.0,2,24,2,27,"(2, 3)",9
42,1.0,1.0,2,24,2,27,"(3, 1)",10
43,1.0,1.0,2,24,2,27,"(3, 2)",8
44,1.0,1.0,2,24,2,27,"(3, 3)",6
45,1.0,1.0,2,24,3,22,"(1, 1)",11
46,1.0,1.0,2,24,3,22,"(1, 2)",11
47,1.0,1.0,2,24,3,22,"(1, 3)",7
48,1.0,1.0,2,24,3,22,"(2, 1)",7
49,1.0,1.0,2,24,3,22,"(2, 2)",8
50,1.0,1.0,2,24,3,22,"(2, 3)",9
51,1.0,1.0,2,24,3,22,"(3, 1)",10
52,1.0,1.0,2,24,3,22,"(3, 2)",8
53,1.0,1.0,2,24,3,22,"(3, 3)",6
54,1.0,1.0,3,24,1,28,"(1, 1)",11
55,1.0,1.0,3,24,1,28,"(1, 2)",11
56,1.0,1.0,3,24,1,28,"(1, 3)",7
57,1.0,1.0,3,24,1,28,"(2, 1)",7
58,1.0,1.0,3,24,1,28,"(2, 2)",8
59,1.0,1.0,3,24,1,28,"(2, 3)",9
60,1.0,1.0,3,24,1,28,"(3, 1)",10
61,1.0,1.0,3,24,1,28,"(3, 2)",8
62,1.0,1.0,3,24,1,28,"(3, 3)",6
63,1.0,1.0,3,24,2,27,"(1, 1)",11
64,1.0,1.0,3,24,2,27,"(1, 2)",11
65,1.0,1.0,3,24,2,27,"(1, 3)",7
66,1.0,1.0,3,24,2,27,"(2, 1)",7
67,1.0,1.0,3,24,2,27,"(2, 2)",8
68,1.0,1.0,3,24,2,27,"(2, 3)",9
69,1.0,1.0,3,24,2,27,"(3, 1)",10
70,1.0,1.0,3,24,2,27,"(3, 2)",8
71,1.0,1.0,3,24,2,27,"(3, 3)",6
72,1.0,1.0,3,24,3,22,"(1, 1)",11
73,1.0,1.0,3,24,3,22,"(1, 2)",11
74,1.0,1.0,3,24,3,22,"(1, 3)",7
75,1.0,1.0,3,24,3,22,"(2, 1)",7
76,1.0,1.0,3,24,3,22,"(2, 2)",8
77,1.0,1.0,3,24,3,22,"(2, 3)",9
78,1.0,1.0,3,24,3,22,"(3, 1)",10
79,1.0,1.0,3,24,3,22,"(3, 2)",8
80,1.0,1.0,3,24,3,22,"(3, 3)",6
81,1.0,2.0,1,101,1,94,"(1, 1)",30
82,1.0,2.0,1,101,1,94,"(1, 2)",40
83,1.0,2.0,1,101,1,94,"(1, 3)",31
84,1.0,2.0,1,101,1,94,"(2, 1)",37
85,1.0,2.0,1,101,1,94,"(2, 2)",33
86,1.0,2.0,1,101,1,94,"(2, 3)",28
87,1.0,2.0,1,101,1,94,"(3, 1)",27
88,1.0,2.0,1,101,1,94,"(3, 2)",25
89,1.0,2.0,1,101,1,94,"(3, 3)",30
90,1.0,2.0,1,101,2,98,"(1, 1)",30
91,1.0,2.0,1,101,2,98,"(1, 2)",40
92,1.0,2.0,1,101,2,98,"(1, 3)",31
93,1.0,2.0,1,101,2,98,"(2, 1)",37
94,1.0,2.0,1,101,2,98,"(2, 2)",33
95,1.0,2.0,1,101,2,98,"(2, 3)",28
96,1.0,2.0,1,101,2,98,"(3, 1)",27
97,1.0,2.0,1,101,2,98,"(3, 2)",25
98,1.0,2.0,1,101,2,98,"(3, 3)",30
99,1.0,2.0,1,101,3,89,"(1, 1)",30
100,1.0,2.0,1,101,3,89,"(1, 2)",40
101,1.0,2.0,1,101,3,89,"(1, 3)",31
102,1.0,2.0,1,101,3,89,"(2, 1)",37
103,1.0,2.0,1,101,3,89,"(2, 2)",33
104,1.0,2.0,1,101,3,89,"(2, 3)",28
105,1.0,2.0,1,101,3,89,"(3, 1)",27
106,1.0,2.0,1,101,3,89,"(3, 2)",25
107,1.0,2.0,1,101,3,89,"(3, 3)",30
108,1.0,2.0,2,98,1,94,"(1, 1)",30
109,1.0,2.0,2,98,1,94,"(1, 2)",40
110,1.0,2.0,2,98,1,94,"(1, 3)",31
111,1.0,2.0,2,98,1,94,"(2, 1)",37
112,1.0,2.0,2,98,1,94,"(2, 2)",33
113,1.0,2.0,2,98,1,94,"(2, 3)",28
114,1.0,2.0,2,98,1,94,"(3, 1)",27
115,1.0,2.0,2,98,1,94,"(3, 2)",25
116,1.0,2.0,2,98,1,94,"(3, 3)",30
117,1.0,2.0,2,98,2,98,"(1, 1)",30
118,1.0,2.0,2,98,2,98,"(1, 2)",40
119,1.0,2.0,2,98,2,98,"(1, 3)",31
120,1.0,2.0,2,98,2,98,"(2, 1)",37
121,1.0,2.0,2,98,2,98,"(2, 2)",33
122,1.0,2.0,2,98,2,98,"(2, 3)",28
123,1.0,2.0,2,98,2,98,"(3, 1)",27
124,1.0,2.0,2,98,2,98,"(3, 2)",25
125,1.0,2.0,2,98,2,98,"(3, 3)",30
126,1.0,2.0,2,98,3,89,"(1, 1)",30
127,1.0,2.0,2,98,3,89,"(1, 2)",40
128,1.0,2.0,2,98,3,89,"(1, 3)",31
129,1.0,2.0,2,98,3,89,"(2, 1)",37
130,1.0,2.0,2,98,3,89,"(2, 2)",33
131,1.0,2.0,2,98,3,89,"(2, 3)",28
132,1.0,2.0,2,98,3,89,"(3, 1)",27
133,1.0,2.0,2,98,3,89,"(3, 2)",25
134,1.0,2.0,2,98,3,89,"(3, 3)",30
135,1.0,2.0,3,82,1,94,"(1, 1)",30
136,1.0,2.0,3,82,1,94,"(1, 2)",40
137,1.0,2.0,3,82,1,94,"(1, 3)",31
138,1.0,2.0,3,82,1,94,"(2, 1)",37
139,1.0,2.0,3,82,1,94,"(2, 2)",33
140,1.0,2.0,3,82,1,94,"(2, 3)",28
141,1.0,2.0,3,82,1,94,"(3, 1)",27
142,1.0,2.0,3,82,1,94,"(3, 2)",25
143,1.0,2.0,3,82,1,94,"(3, 3)",30
144,1.0,2.0,3,82,2,98,"(1, 1)",30
145,1.0,2.0,3,82,2,98,"(1, 2)",40
146,1.0,2.0,3,82,2,98,"(1, 3)",31
147,1.0,2.0,3,82,2,98,"(2, 1)",37
148,1.0,2.0,3,82,2,98,"(2, 2)",33
149,1.0,2.0,3,82,2,98,"(2, 3)",28
150,1.0,2.0,3,82,2,98,"(3, 1)",27
