,income,education,green_energy,green_energy_freq,cost,cost_freq,combination,combination_freq
0,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,60% Green energy & 20% lower than current,11
1,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,60% Green energy & same as current,11
2,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,60% Green energy & 20% higher than current,7
3,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,80% Green energy & 20% lower than current,7
4,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,80% Green energy & same as current,8
5,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,80% Green energy & 20% higher than current,9
6,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,100% Green energy & 20% lower than current,10
7,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,100% Green energy & same as current,8
8,3000 or less,Compulsory school,60% Green energy,29,20% lower than current,28,100% Green energy & 20% higher than current,6
9,3000 or less,Compulsory school,60% Green energy,29,same as current,27,60% Green energy & 20% lower than current,11
10,3000 or less,Compulsory school,60% Green energy,29,same as current,27,60% Green energy & same as current,11
11,3000 or less,Compulsory school,60% Green energy,29,same as current,27,60% Green energy & 20% higher than current,7
12,3000 or less,Compulsory school,60% Green energy,29,same as current,27,80% Green energy & 20% lower than current,7
13,3000 or less,Compulsory school,60% Green energy,29,same as current,27,80% Green energy & same as current,8
14,3000 or less,Compulsory school,60% Green energy,29,same as current,27,80% Green energy & 20% higher than current,9
15,3000 or less,Compulsory school,60% Green energy,29,same as current,27,100% Green energy & 20% lower than current,10
16,3000 or less,Compulsory school,60% Green energy,29,same as current,27,100% Green energy & same as current,8
17,3000 or less,Compulsory school,60% Green energy,29,same as current,27,100% Green energy & 20% higher than current,6
18,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,60% Green energy & 20% lower than current,11
19,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,60% Green energy & same as current,11
20,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,60% Green energy & 20% higher than current,7
21,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,80% Green energy & 20% lower than current,7
22,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,80% Green energy & same as current,8
23,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,80% Green energy & 20% higher than current,9
24,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,100% Green energy & 20% lower than current,10
25,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,100% Green energy & same as current,8
26,3000 or less,Compulsory school,60% Green energy,29,20% higher than current,22,100% Green energy & 20% higher than current,6
27,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,60% Green energy & 20% lower than current,11
28,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,60% Green energy & same as current,11
29,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,60% Green energy & 20% higher than current,7
30,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,80% Green energy & 20% lower than current,7
31,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,80% Green energy & same as current,8
32,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,80% Green energy & 20% higher than current,9
33,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,100% Green energy & 20% lower than current,10
34,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,100% Green energy & same as current,8
35,3000 or less,Compulsory school,80% Green energy,24,20% lower than current,28,100% Green energy & 20% higher than current,6
36,3000 or less,Compulsory school,80% Green energy,24,same as current,27,60% Green energy & 20% lower than current,11
37,3000 or less,Compulsory school,80% Green energy,24,same as current,27,60% Green energy & same as current,11
38,3000 or less,Compulsory school,80% Green energy,24,same as current,27,60% Green energy & 20% higher than current,7
39,3000 or less,Compulsory school,80% Green energy,24,same as current,27,80% Green energy & 20% lower than current,7
40,3000 or less,Compulsory school,80% Green energy,24,same as current,27,80% Green energy & same as current,8
41,3000 or less,Compulsory school,80% Green energy,24,same as current,27,80% Green energy & 20% higher than current,9
42,3000 or less,Compulsory school,80% Green energy,24,same as current,27,100% Green energy & 20% lower than current,10
43,3000 or less,Compulsory school,80% Green energy,24,same as current,27,100% Green energy & same as current,8
44,3000 or less,Compulsory school,80% Green energy,24,same as current,27,100% Green energy & 20% higher than current,6
45,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,60% Green energy & 20% lower than current,11
46,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,60% Green energy & same as current,11
47,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,60% Green energy & 20% higher than current,7
48,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,80% Green energy & 20% lower than current,7
49,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,80% Green energy & same as current,8
50,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,80% Green energy & 20% higher than current,9
51,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,100% Green energy & 20% lower than current,10
52,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,100% Green energy & same as current,8
53,3000 or less,Compulsory school,80% Green energy,24,20% higher than current,22,100% Green energy & 20% higher than current,6
54,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,60% Green energy & 20% lower than current,11
55,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,60% Green energy & same as current,11
56,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,60% Green energy & 20% higher than current,7
57,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,80% Green energy & 20% lower than current,7
58,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,80% Green energy & same as current,8
59,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,80% Green energy & 20% higher than current,9
60,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,100% Green energy & 20% lower than current,10
61,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,100% Green energy & same as current,8
62,3000 or less,Compulsory school,100% Green energy,24,20% lower than current,28,100% Green energy & 20% higher than current,6
63,3000 or less,Compulsory school,100% Green energy,24,same as current,27,60% Green energy & 20% lower than current,11
64,3000 or less,Compulsory school,100% Green energy,24,same as current,27,60% Green energy & same as current,11
65,3000 or less,Compulsory school,100% Green energy,24,same as current,27,60% Green energy & 20% higher than current,7
66,3000 or less,Compulsory school,100% Green energy,24,same as current,27,80% Green energy & 20% lower than current,7
67,3000 or less,Compulsory school,100% Green energy,24,same as current,27,80% Green energy & same as current,8
