,income,green_energy,green_energy_freq,cost,cost_freq,combination,combination_freq
0,3000 or less,1,29,1,28,60% Green energy & 20% lower than current,0.019642857142857142
1,3000 or less,1,29,1,28,60% Green energy & same as current,0.019642857142857142
2,3000 or less,1,29,1,28,60% Green energy & 20% higher than current,0.0125
3,3000 or less,1,29,1,28,80% Green energy & 20% lower than current,0.0125
4,3000 or less,1,29,1,28,80% Green energy & same as current,0.014285714285714285
5,3000 or less,1,29,1,28,80% Green energy & 20% higher than current,0.01607142857142857
6,3000 or less,1,29,1,28,100% Green energy & 20% lower than current,0.017857142857142856
7,3000 or less,1,29,1,28,100% Green energy & same as current,0.014285714285714285
8,3000 or less,1,29,1,28,100% Green energy & 20% higher than current,0.010714285714285714
9,3000 or less,1,29,2,27,60% Green energy & 20% lower than current,0.019642857142857142
10,3000 or less,1,29,2,27,60% Green energy & same as current,0.019642857142857142
11,3000 or less,1,29,2,27,60% Green energy & 20% higher than current,0.0125
12,3000 or less,1,29,2,27,80% Green energy & 20% lower than current,0.0125
13,3000 or less,1,29,2,27,80% Green energy & same as current,0.014285714285714285
14,3000 or less,1,29,2,27,80% Green energy & 20% higher than current,0.01607142857142857
15,3000 or less,1,29,2,27,100% Green energy & 20% lower than current,0.017857142857142856
16,3000 or less,1,29,2,27,100% Green energy & same as current,0.014285714285714285
17,3000 or less,1,29,2,27,100% Green energy & 20% higher than current,0.010714285714285714
18,3000 or less,1,29,3,22,60% Green energy & 20% lower than current,0.019642857142857142
19,3000 or less,1,29,3,22,60% Green energy & same as current,0.019642857142857142
20,3000 or less,1,29,3,22,60% Green energy & 20% higher than current,0.0125
21,3000 or less,1,29,3,22,80% Green energy & 20% lower than current,0.0125
22,3000 or less,1,29,3,22,80% Green energy & same as current,0.014285714285714285
23,3000 or less,1,29,3,22,80% Green energy & 20% higher than current,0.01607142857142857
24,3000 or less,1,29,3,22,100% Green energy & 20% lower than current,0.017857142857142856
25,3000 or less,1,29,3,22,100% Green energy & same as current,0.014285714285714285
26,3000 or less,1,29,3,22,100% Green energy & 20% higher than current,0.010714285714285714
27,3000 or less,2,24,1,28,60% Green energy & 20% lower than current,0.019642857142857142
28,3000 or less,2,24,1,28,60% Green energy & same as current,0.019642857142857142
29,3000 or less,2,24,1,28,60% Green energy & 20% higher than current,0.0125
