,year,value,ISO2,energy_type
0,2000,0.0,AD,Total Non-Renewable
1,2000,110.0,AD,Total Renewable
2,2000,48224.0,AE,Total Non-Renewable
3,2000,0.0,AE,Total Renewable
4,2000,61.365,AF,Total Non-Renewable
5,2000,649.442,AF,Total Renewable
6,2000,177.0,AG,Total Non-Renewable
7,2000,0.0,AG,Total Renewable
8,2000,57.224999999999994,AI,Total Non-Renewable
9,2000,0.0,AI,Total Renewable
10,2000,408.0,AL,Total Non-Renewable
11,2000,6047.0,AL,Total Renewable
12,2000,4491.5,AM,Total Non-Renewable
13,2000,2285.3,AM,Total Renewable
14,2000,453.249,AO,Total Non-Renewable
15,2000,1135.869,AO,Total Renewable
16,2000,67166.947,AR,Total Non-Renewable
17,2000,38117.419,AR,Total Renewable
18,2000,209.72699999999998,AS,Total Non-Renewable
19,2000,0.0,AS,Total Renewable
20,2000,21539.0,AT,Total Non-Renewable
21,2000,55912.634,AT,Total Renewable
22,2000,228797.0,AU,Total Non-Renewable
23,2000,24851.0,AU,Total Renewable
24,2000,934.585,AW,Total Non-Renewable
25,2000,0.0,AW,Total Renewable
26,2000,21155.0,AZ,Total Non-Renewable
27,2000,2456.0,AZ,Total Renewable
28,2000,7110.0,BA,Total Non-Renewable
29,2000,6602.0,BA,Total Renewable
30,2000,971.54,BB,Total Non-Renewable
31,2000,0.077,BB,Total Renewable
32,2000,21063.61,BD,Total Non-Renewable
33,2000,1700.967,BD,Total Renewable
34,2000,41046.0,BE,Total Non-Renewable
35,2000,1276.5,BE,Total Renewable
36,2000,340.084,BF,Total Non-Renewable
37,2000,130.268,BF,Total Renewable
38,2000,25401.0,BG,Total Non-Renewable
39,2000,3699.0,BG,Total Renewable
40,2000,11797.39,BH,Total Non-Renewable
41,2000,0.0,BH,Total Renewable
42,2000,11.666,BI,Total Non-Renewable
43,2000,160.141,BI,Total Renewable
44,2000,138.34699999999998,BJ,Total Non-Renewable
45,2000,2.134,BJ,Total Renewable
46,2000,3599.499,BN,Total Non-Renewable
47,2000,0.0,BN,Total Renewable
48,2000,2548.735,BO,Total Non-Renewable
49,2000,2307.238,BO,Total Renewable
50,2000,35528.953,BR,Total Non-Renewable
51,2000,376001.78500000003,BR,Total Renewable
52,2000,2105.8,BS,Total Non-Renewable
53,2000,0.0,BS,Total Renewable
54,2000,9.41,BT,Total Non-Renewable
55,2000,2312.225,BT,Total Renewable
56,2000,1223.0,BW,Total Non-Renewable
57,2000,0.0,BW,Total Renewable
58,2000,33904.0,BY,Total Non-Renewable
59,2000,38.444,BY,Total Renewable
60,2000,93.126,BZ,Total Non-Renewable
61,2000,123.96300000000001,BZ,Total Renewable
62,2000,197588.0,CA,Total Non-Renewable
63,2000,436452.165,CA,Total Renewable
64,2000,24.987000000000002,CD,Total Non-Renewable
65,2000,8394.58,CD,Total Renewable
66,2000,21.25,CF,Total Non-Renewable
67,2000,104.51400000000001,CF,Total Renewable
68,2000,28.85,CG,Total Non-Renewable
69,2000,171.601,CG,Total Renewable
70,2000,1581.0,CH,Total Non-Renewable
71,2000,50804.0,CH,Total Renewable
72,2000,3641.258804,CI,Total Non-Renewable
73,2000,2368.0,CI,Total Renewable
74,2000,31.229,CK,Total Non-Renewable
75,2000,0.133,CK,Total Renewable
76,2000,25897.774,CL,Total Non-Renewable
77,2000,24271.0,CL,Total Renewable
78,2000,225.332,CM,Total Non-Renewable
79,2000,4161.0,CM,Total Renewable
80,2000,1350207.6,CN,Total Non-Renewable
81,2000,298681.62,CN,Total Renewable
82,2000,15250.592,CO,Total Non-Renewable
83,2000,41131.332,CO,Total Renewable
84,2000,336.491,CR,Total Non-Renewable
85,2000,7164.2880000000005,CR,Total Renewable
86,2000,17021.2,CU,Total Non-Renewable
87,2000,1851.0,CU,Total Renewable
88,2000,217.856,CV,Total Non-Renewable
89,2000,4.549,CV,Total Renewable
90,2000,4358.0,CY,Total Non-Renewable
91,2000,0.0,CY,Total Renewable
