,year,value,ISO2,energy_type
50,2000,35528.953,BR,Total Non-Renewable
51,2000,376001.78500000003,BR,Total Renewable
62,2000,197588.0,CA,Total Non-Renewable
63,2000,436452.165,CA,Total Renewable
80,2000,1350207.6,CN,Total Non-Renewable
81,2000,298681.62,CN,Total Renewable
94,2000,440292.0,DE,Total Non-Renewable
95,2000,47281.5,DE,Total Renewable
118,2000,33053.0,FI,Total Non-Renewable
119,2000,27840.576,FI,Total Renewable
132,2000,339257.0,GB,Total Non-Renewable
133,2000,12885.0,GB,Total Renewable
178,2000,556600.794,IN,Total Non-Renewable
179,2000,102620.167,IN,Total Renewable
186,2000,271111.0,IT,Total Non-Renewable
187,2000,63487.946,IT,Total Renewable
192,2000,782909.0,JP,Total Non-Renewable
193,2000,116860.0,JP,Total Renewable
208,2000,211184.0,KR,Total Non-Renewable
209,2000,5731.5,KR,Total Renewable
330,2000,766619.345,RU,Total Non-Renewable
331,2000,209593.342,RU,Total Renewable
400,2000,3508403.0,US,Total Non-Renewable
401,2000,403587.864,US,Total Renewable
480,2001,41862.611000000004,BR,Total Non-Renewable
481,2001,342027.948,BR,Total Renewable
492,2001,203795.0,CA,Total Non-Renewable
493,2001,411426.164,CA,Total Renewable
510,2001,1434486.6,CN,Total Non-Renewable
511,2001,357273.132,CN,Total Renewable
524,2001,441675.0,DE,Total Non-Renewable
525,2001,52722.5,DE,Total Renewable
548,2001,39167.0,FI,Total Non-Renewable
549,2001,26165.715,FI,Total Renewable
562,2001,341756.0,GB,Total Non-Renewable
563,2001,12750.0,GB,Total Renewable
608,2001,563299.356,IN,Total Non-Renewable
609,2001,104455.94,IN,Total Renewable
616,2001,269542.0,IT,Total Non-Renewable
617,2001,67560.273,IT,Total Renewable
622,2001,772526.0,JP,Total Non-Renewable
623,2001,119416.5,JP,Total Renewable
638,2001,230935.0,KR,Total Non-Renewable
639,2001,5922.5,KR,Total Renewable
760,2001,761999.928,RU,Total Non-Renewable
761,2001,219862.946,RU,Total Renewable
830,2001,3386587.99,US,Total Non-Renewable
831,2001,337937.634,US,Total Renewable
910,2002,43088.828,BR,Total Non-Renewable
911,2002,363589.49,BR,Total Renewable
922,2002,198763.0,CA,Total Non-Renewable
923,2002,431448.767,CA,Total Renewable
940,2002,1601838.6,CN,Total Non-Renewable
941,2002,371940.34,CN,Total Renewable
954,2002,443862.0,DE,Total Non-Renewable
955,2002,62838.5,DE,Total Renewable
978,2002,41755.0,FI,Total Non-Renewable
979,2002,24489.865,FI,Total Renewable
992,2002,341441.0,GB,Total Non-Renewable
993,2002,14387.5,GB,Total Renewable
1038,2002,585815.819,IN,Total Non-Renewable
1039,2002,102835.44099999999,IN,Total Renewable
1046,2002,281187.0,IT,Total Non-Renewable
1047,2002,61717.358,IT,Total Renewable
1052,2002,820943.0,JP,Total Non-Renewable
1053,2002,120045.0,JP,Total Renewable
1068,2002,241725.0,KR,Total Non-Renewable
